"Количество ДТП с пострадавшими";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"2010";"";"";"";"";"";"";"";"";"";"";"";"2011";"";"";"";"";"";"";"";"";"";"";"2012";"";"";"";"";"";"";"";"";"";"";"";"2013";"";"";"";""
"";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь"
"Российская Федерация";"11777.0";"21946.0";"33012.0";"46039.0";"63554.0";"81822.0";"102923.0";"123958.0";"143608.0";"164036.0";"182481.0";"199431.0";"11202.0";"21037.0";"31926.0";"44258.0";"79623.0";"100953.0";"122637.0";"143221.0";"164015.0";"181339.0";"199868.0";"12030.0";"23245.0";"34865.0";"48657.0";"66247.0";"85721.0";"107282.0";"129121.0";"150167.0";"170091.0";"187098.0";"203597.0";"21987.0";"33174.0";"45794.0";"62984.0";"83439.0"
"Центральный фед.округ";"3365.0";"6170.0";"9204.0";"13056.0";"18153.0";"23416.0";"29266.0";"35096.0";"40478.0";"45943.0";"50920.0";"55532.0";"3069.0";"5654.0";"8615.0";"12108.0";"22192.0";"28227.0";"34165.0";"39634.0";"45037.0";"49869.0";"55031.0";"3352.0";"6463.0";"9425.0";"13104.0";"17938.0";"23115.0";"29040.0";"34807.0";"40447.0";"45699.0";"50257.0";"54493.0";"5679.0";"8594.0";"11846.0";"16673.0";"22192.0"
"Белгородская область";"61.0";"118.0";"187.0";"291.0";"426.0";"581.0";"721.0";"872.0";"1016.0";"1182.0";"1327.0";"1450.0";"88.0";"178.0";"281.0";"373.0";"643.0";"796.0";"950.0";"1089.0";"1216.0";"1335.0";"1470.0";"89.0";"168.0";"245.0";"345.0";"469.0";"597.0";"734.0";"860.0";"1007.0";"1161.0";"1269.0";"1369.0";"129.0";"192.0";"273.0";"408.0";"551.0"
"Брянская область";"85.0";"153.0";"230.0";"343.0";"502.0";"663.0";"829.0";"1009.0";"1180.0";"1302.0";"1435.0";"1547.0";"70.0";"129.0";"215.0";"328.0";"617.0";"789.0";"952.0";"1123.0";"1275.0";"1416.0";"1574.0";"102.0";"181.0";"265.0";"381.0";"504.0";"625.0";"766.0";"929.0";"1078.0";"1206.0";"1336.0";"1449.0";"161.0";"226.0";"326.0";"459.0";"634.0"
"Владимирская область";"177.0";"333.0";"484.0";"677.0";"989.0";"1309.0";"1692.0";"2082.0";"2419.0";"2711.0";"3045.0";"3339.0";"187.0";"330.0";"483.0";"662.0";"1259.0";"1680.0";"2040.0";"2419.0";"2780.0";"3044.0";"3312.0";"171.0";"324.0";"458.0";"652.0";"945.0";"1263.0";"1650.0";"2019.0";"2349.0";"2640.0";"2936.0";"3157.0";"309.0";"464.0";"619.0";"883.0";"1213.0"
"Воронежская область";"186.0";"354.0";"587.0";"884.0";"1248.0";"1636.0";"2083.0";"2528.0";"2893.0";"3309.0";"3649.0";"3913.0";"192.0";"357.0";"555.0";"802.0";"1550.0";"2009.0";"2443.0";"2825.0";"3231.0";"3562.0";"3861.0";"216.0";"406.0";"599.0";"880.0";"1236.0";"1609.0";"2038.0";"2488.0";"2912.0";"3304.0";"3638.0";"3920.0";"413.0";"626.0";"881.0";"1227.0";"1596.0"
"Ивановская область";"119.0";"204.0";"295.0";"430.0";"612.0";"807.0";"1011.0";"1213.0";"1421.0";"1618.0";"1814.0";"1970.0";"110.0";"208.0";"313.0";"432.0";"776.0";"1021.0";"1286.0";"1481.0";"1666.0";"1828.0";"2003.0";"121.0";"218.0";"320.0";"432.0";"602.0";"797.0";"1032.0";"1289.0";"1510.0";"1712.0";"1871.0";"2018.0";"184.0";"280.0";"369.0";"537.0";"751.0"
"Калужская область";"96.0";"191.0";"289.0";"399.0";"542.0";"719.0";"889.0";"1071.0";"1242.0";"1405.0";"1576.0";"1758.0";"92.0";"172.0";"249.0";"354.0";"681.0";"890.0";"1072.0";"1236.0";"1406.0";"1579.0";"1827.0";"152.0";"273.0";"374.0";"514.0";"696.0";"879.0";"1089.0";"1324.0";"1525.0";"1723.0";"1909.0";"2140.0";"247.0";"371.0";"497.0";"709.0";"915.0"
"Костромская область";"70.0";"130.0";"176.0";"257.0";"356.0";"456.0";"578.0";"711.0";"794.0";"920.0";"1036.0";"1097.0";"44.0";"79.0";"119.0";"177.0";"345.0";"458.0";"570.0";"663.0";"769.0";"871.0";"964.0";"46.0";"104.0";"133.0";"181.0";"253.0";"331.0";"427.0";"522.0";"621.0";"722.0";"788.0";"873.0";"79.0";"115.0";"147.0";"210.0";"300.0"
"Курская область";"70.0";"144.0";"244.0";"395.0";"583.0";"756.0";"958.0";"1173.0";"1373.0";"1594.0";"1763.0";"1885.0";"99.0";"175.0";"271.0";"437.0";"799.0";"993.0";"1226.0";"1411.0";"1602.0";"1755.0";"1952.0";"129.0";"210.0";"325.0";"466.0";"657.0";"860.0";"1101.0";"1301.0";"1556.0";"1727.0";"1905.0";"2060.0";"191.0";"282.0";"386.0";"586.0";"779.0"
"Липецкая область";"79.0";"187.0";"317.0";"467.0";"683.0";"875.0";"1152.0";"1398.0";"1627.0";"1854.0";"2072.0";"2255.0";"132.0";"235.0";"365.0";"520.0";"940.0";"1158.0";"1405.0";"1642.0";"1864.0";"2049.0";"2241.0";"138.0";"255.0";"369.0";"511.0";"705.0";"923.0";"1166.0";"1398.0";"1629.0";"1869.0";"2054.0";"2225.0";"217.0";"340.0";"472.0";"689.0";"909.0"
"г. Москва";"936.0";"1668.0";"2487.0";"3444.0";"4543.0";"5602.0";"6568.0";"7615.0";"8723.0";"9885.0";"10878.0";"11757.0";"697.0";"1399.0";"2218.0";"3037.0";"5181.0";"6204.0";"7349.0";"8522.0";"9662.0";"10734.0";"11827.0";"834.0";"1663.0";"2527.0";"3458.0";"4519.0";"5615.0";"6765.0";"7803.0";"9021.0";"10091.0";"11054.0";"12010.0";"1424.0";"2181.0";"3043.0";"4074.0";"5162.0"
"Московская область";"684.0";"1277.0";"1799.0";"2505.0";"3450.0";"4457.0";"5575.0";"6703.0";"7739.0";"8768.0";"9658.0";"10659.0";"600.0";"1053.0";"1577.0";"2203.0";"4103.0";"5296.0";"6428.0";"7442.0";"8444.0";"9332.0";"10267.0";"532.0";"1094.0";"1576.0";"2193.0";"3040.0";"3950.0";"4975.0";"5935.0";"6821.0";"7753.0";"8525.0";"9241.0";"950.0";"1448.0";"1999.0";"2827.0";"3781.0"
"Орловская область";"57.0";"113.0";"190.0";"286.0";"412.0";"552.0";"718.0";"873.0";"1038.0";"1184.0";"1308.0";"1394.0";"70.0";"130.0";"185.0";"274.0";"529.0";"689.0";"829.0";"966.0";"1104.0";"1228.0";"1369.0";"93.0";"166.0";"228.0";"316.0";"421.0";"548.0";"672.0";"814.0";"978.0";"1120.0";"1247.0";"1350.0";"133.0";"190.0";"257.0";"392.0";"535.0"
"Рязанская область";"150.0";"262.0";"375.0";"505.0";"686.0";"905.0";"1157.0";"1348.0";"1526.0";"1727.0";"1910.0";"2124.0";"122.0";"203.0";"302.0";"401.0";"833.0";"1155.0";"1435.0";"1659.0";"1860.0";"2088.0";"2304.0";"133.0";"236.0";"360.0";"506.0";"718.0";"951.0";"1294.0";"1594.0";"1807.0";"2045.0";"2256.0";"2464.0";"240.0";"371.0";"520.0";"751.0";"1004.0"
"Смоленская область";"57.0";"119.0";"171.0";"250.0";"361.0";"494.0";"661.0";"815.0";"925.0";"1054.0";"1165.0";"1280.0";"66.0";"138.0";"191.0";"279.0";"494.0";"618.0";"760.0";"896.0";"1022.0";"1148.0";"1320.0";"77.0";"156.0";"215.0";"302.0";"435.0";"561.0";"735.0";"904.0";"1018.0";"1140.0";"1267.0";"1384.0";"128.0";"200.0";"268.0";"389.0";"555.0"
"Тамбовская область";"90.0";"158.0";"241.0";"361.0";"550.0";"675.0";"946.0";"1145.0";"1307.0";"1466.0";"1625.0";"1828.0";"101.0";"160.0";"248.0";"369.0";"680.0";"933.0";"1120.0";"1279.0";"1452.0";"1608.0";"1794.0";"114.0";"228.0";"309.0";"450.0";"640.0";"861.0";"1095.0";"1360.0";"1576.0";"1749.0";"1893.0";"2057.0";"208.0";"305.0";"441.0";"650.0";"863.0"
"Тверская область";"126.0";"204.0";"309.0";"439.0";"632.0";"848.0";"1129.0";"1408.0";"1638.0";"1859.0";"2099.0";"2270.0";"112.0";"186.0";"277.0";"396.0";"787.0";"1017.0";"1222.0";"1401.0";"1595.0";"1762.0";"1929.0";"122.0";"217.0";"302.0";"410.0";"585.0";"810.0";"1083.0";"1347.0";"1573.0";"1785.0";"1957.0";"2077.0";"175.0";"280.0";"366.0";"511.0";"740.0"
"Тульская область";"187.0";"334.0";"477.0";"650.0";"901.0";"1199.0";"1486.0";"1786.0";"2046.0";"2333.0";"2597.0";"2859.0";"162.0";"304.0";"444.0";"623.0";"1157.0";"1472.0";"1800.0";"2112.0";"2389.0";"2644.0";"2933.0";"155.0";"322.0";"475.0";"629.0";"864.0";"1096.0";"1346.0";"1637.0";"1942.0";"2200.0";"2424.0";"2621.0";"281.0";"417.0";"574.0";"806.0";"1097.0"
"Ярославская область";"135.0";"221.0";"346.0";"473.0";"677.0";"882.0";"1113.0";"1346.0";"1571.0";"1772.0";"1963.0";"2147.0";"125.0";"218.0";"322.0";"441.0";"818.0";"1049.0";"1278.0";"1468.0";"1700.0";"1886.0";"2084.0";"128.0";"242.0";"345.0";"478.0";"649.0";"839.0";"1072.0";"1283.0";"1524.0";"1752.0";"1928.0";"2078.0";"210.0";"306.0";"408.0";"565.0";"807.0"
"Северо-Западный фед.округ";"1491.0";"2781.0";"4176.0";"5643.0";"7623.0";"9485.0";"11978.0";"14337.0";"16508.0";"18897.0";"20930.0";"22936.0";"1431.0";"2667.0";"3928.0";"5317.0";"9395.0";"11853.0";"14386.0";"16731.0";"19107.0";"21200.0";"23547.0";"1578.0";"3106.0";"4513.0";"5991.0";"7991.0";"10184.0";"12646.0";"15078.0";"17551.0";"19866.0";"21926.0";"23963.0";"2912.0";"4259.0";"5603.0";"7463.0";"9785.0"
"Республика Карелия";"51.0";"97.0";"137.0";"182.0";"228.0";"290.0";"383.0";"475.0";"545.0";"640.0";"717.0";"789.0";"48.0";"90.0";"136.0";"173.0";"283.0";"393.0";"493.0";"579.0";"660.0";"753.0";"851.0";"53.0";"104.0";"158.0";"205.0";"276.0";"363.0";"447.0";"536.0";"611.0";"697.0";"778.0";"861.0";"85.0";"127.0";"165.0";"223.0";"290.0"
"Республика Коми";"110.0";"210.0";"297.0";"362.0";"470.0";"571.0";"749.0";"882.0";"1016.0";"1180.0";"1310.0";"1460.0";"104.0";"189.0";"307.0";"384.0";"648.0";"813.0";"991.0";"1173.0";"1348.0";"1520.0";"1648.0";"122.0";"213.0";"316.0";"388.0";"534.0";"686.0";"864.0";"1064.0";"1242.0";"1405.0";"1551.0";"1675.0";"249.0";"356.0";"417.0";"527.0";"665.0"
"Архангельская обл. (с АО )";"160.0";"289.0";"473.0";"601.0";"832.0";"991.0";"1236.0";"1499.0";"1692.0";"1943.0";"2119.0";"2297.0";"178.0";"321.0";"421.0";"543.0";"954.0";"1204.0";"1499.0";"1653.0";"1891.0";"2100.0";"2291.0";"151.0";"309.0";"434.0";"557.0";"721.0";"924.0";"1134.0";"1404.0";"1624.0";"1828.0";"1999.0";"2176.0";"267.0";"378.0";"481.0";"655.0";"868.0"
"Архангельская обл. (без а/о)";"154.0";"280.0";"461.0";"588.0";"818.0";"975.0";"1215.0";"1475.0";"1664.0";"1911.0";"2085.0";"2259.0";"173.0";"312.0";"408.0";"529.0";"935.0";"1184.0";"1475.0";"1626.0";"1862.0";"2070.0";"2246.0";"146.0";"297.0";"417.0";"536.0";"700.0";"894.0";"1099.0";"1365.0";"1583.0";"1787.0";"1957.0";"2133.0";"263.0";"368.0";"471.0";"640.0";"853.0"
"Ненецкий АО";"6.0";"9.0";"12.0";"13.0";"14.0";"16.0";"21.0";"24.0";"28.0";"32.0";"34.0";"38.0";"5.0";"9.0";"13.0";"14.0";"19.0";"20.0";"24.0";"27.0";"29.0";"30.0";"45.0";"5.0";"12.0";"17.0";"21.0";"21.0";"30.0";"35.0";"39.0";"41.0";"41.0";"42.0";"43.0";"4.0";"10.0";"10.0";"15.0";"15.0"
"Вологодская область";"129.0";"238.0";"354.0";"470.0";"662.0";"862.0";"1097.0";"1325.0";"1515.0";"1745.0";"1901.0";"2093.0";"123.0";"236.0";"368.0";"497.0";"893.0";"1107.0";"1341.0";"1520.0";"1747.0";"1904.0";"2048.0";"121.0";"231.0";"345.0";"449.0";"624.0";"839.0";"1058.0";"1257.0";"1455.0";"1641.0";"1802.0";"1986.0";"242.0";"352.0";"436.0";"578.0";"783.0"
"Калининградская область";"90.0";"164.0";"245.0";"334.0";"451.0";"551.0";"686.0";"810.0";"948.0";"1053.0";"1170.0";"1300.0";"56.0";"135.0";"202.0";"302.0";"535.0";"667.0";"802.0";"939.0";"1063.0";"1188.0";"1329.0";"66.0";"134.0";"202.0";"309.0";"414.0";"536.0";"666.0";"798.0";"936.0";"1061.0";"1206.0";"1327.0";"121.0";"191.0";"285.0";"401.0";"548.0"
"ГУВД г.Санкт-Петерб. и Лен.обл";"710.0";"1357.0";"2031.0";"2792.0";"3702.0";"4617.0";"5703.0";"6790.0";"7860.0";"8942.0";"9942.0";"10853.0";"661.0";"1249.0";"1840.0";"2516.0";"4421.0";"5538.0";"6632.0";"7790.0";"8877.0";"9819.0";"11056.0";"757.0";"1568.0";"2293.0";"3060.0";"4035.0";"5108.0";"6293.0";"7418.0";"8661.0";"9812.0";"10832.0";"11864.0";"1502.0";"2239.0";"2978.0";"3932.0";"5098.0"
"Ленинградская область";"197.0";"396.0";"559.0";"739.0";"1016.0";"1306.0";"1737.0";"2108.0";"2433.0";"2741.0";"3070.0";"3321.0";"245.0";"399.0";"551.0";"703.0";"1293.0";"1710.0";"2115.0";"2484.0";"2822.0";"3134.0";"3506.0";"241.0";"436.0";"639.0";"836.0";"1102.0";"1396.0";"1884.0";"2262.0";"2655.0";"2973.0";"3257.0";"3576.0";"424.0";"609.0";"792.0";"1117.0";"1533.0"
"г. Санкт-Петербург";"513.0";"961.0";"1472.0";"2053.0";"2686.0";"3311.0";"3966.0";"4682.0";"5427.0";"6201.0";"6872.0";"7532.0";"416.0";"850.0";"1289.0";"1813.0";"3128.0";"3828.0";"4517.0";"5306.0";"6055.0";"6685.0";"7550.0";"516.0";"1132.0";"1654.0";"2224.0";"2933.0";"3712.0";"4409.0";"5156.0";"6006.0";"6839.0";"7575.0";"8288.0";"1078.0";"1630.0";"2186.0";"2815.0";"3565.0"
"Мурманская область";"61.0";"124.0";"202.0";"253.0";"324.0";"366.0";"478.0";"544.0";"660.0";"789.0";"917.0";"1034.0";"72.0";"123.0";"197.0";"255.0";"390.0";"470.0";"560.0";"669.0";"805.0";"921.0";"1032.0";"93.0";"160.0";"216.0";"272.0";"335.0";"388.0";"464.0";"540.0";"639.0";"748.0";"859.0";"969.0";"150.0";"196.0";"259.0";"328.0";"397.0"
"Новгородская  область";"107.0";"180.0";"251.0";"355.0";"516.0";"637.0";"833.0";"1017.0";"1135.0";"1302.0";"1432.0";"1564.0";"101.0";"177.0";"254.0";"346.0";"622.0";"790.0";"981.0";"1155.0";"1298.0";"1429.0";"1562.0";"98.0";"181.0";"250.0";"336.0";"483.0";"609.0";"780.0";"944.0";"1095.0";"1235.0";"1356.0";"1470.0";"153.0";"206.0";"287.0";"409.0";"565.0"
"Псковская область";"73.0";"122.0";"186.0";"294.0";"438.0";"600.0";"813.0";"995.0";"1137.0";"1303.0";"1422.0";"1546.0";"88.0";"147.0";"203.0";"301.0";"649.0";"871.0";"1087.0";"1253.0";"1418.0";"1566.0";"1730.0";"117.0";"206.0";"299.0";"415.0";"569.0";"731.0";"940.0";"1117.0";"1288.0";"1439.0";"1543.0";"1635.0";"143.0";"214.0";"295.0";"410.0";"571.0"
"Северо-Кавказский фед. округ";"452.0";"816.0";"1229.0";"1732.0";"2321.0";"2866.0";"3618.0";"4225.0";"4877.0";"5602.0";"6276.0";"7034.0";"486.0";"904.0";"1310.0";"1826.0";"2938.0";"3577.0";"4236.0";"4936.0";"5635.0";"6247.0";"6989.0";"512.0";"888.0";"1356.0";"1870.0";"2448.0";"3088.0";"3674.0";"4400.0";"5104.0";"5826.0";"6545.0";"7201.0";"958.0";"1436.0";"1959.0";"2575.0";"3240.0"
"Ставропольский край";"175.0";"318.0";"468.0";"676.0";"912.0";"1125.0";"1367.0";"1641.0";"1899.0";"2172.0";"2440.0";"2762.0";"161.0";"313.0";"470.0";"692.0";"1099.0";"1347.0";"1614.0";"1912.0";"2182.0";"2402.0";"2751.0";"205.0";"348.0";"520.0";"738.0";"973.0";"1232.0";"1483.0";"1794.0";"2074.0";"2362.0";"2662.0";"2912.0";"357.0";"546.0";"766.0";"1023.0";"1290.0"
"Республика Ингушетия";"13.0";"17.0";"38.0";"57.0";"85.0";"110.0";"129.0";"146.0";"171.0";"185.0";"201.0";"218.0";"14.0";"29.0";"39.0";"54.0";"79.0";"92.0";"100.0";"127.0";"147.0";"169.0";"191.0";"25.0";"43.0";"55.0";"77.0";"90.0";"111.0";"120.0";"141.0";"165.0";"191.0";"214.0";"235.0";"37.0";"56.0";"75.0";"89.0";"109.0"
"Республика Дагестан";"108.0";"197.0";"300.0";"402.0";"540.0";"689.0";"911.0";"1005.0";"1172.0";"1350.0";"1517.0";"1690.0";"105.0";"196.0";"298.0";"419.0";"686.0";"843.0";"967.0";"1106.0";"1267.0";"1424.0";"1578.0";"128.0";"205.0";"298.0";"404.0";"522.0";"650.0";"771.0";"903.0";"1027.0";"1148.0";"1305.0";"1419.0";"214.0";"302.0";"382.0";"482.0";"629.0"
"Кабардино-Балкарская Респ.";"43.0";"80.0";"119.0";"165.0";"210.0";"254.0";"344.0";"408.0";"481.0";"561.0";"641.0";"733.0";"69.0";"114.0";"158.0";"210.0";"349.0";"420.0";"533.0";"616.0";"712.0";"775.0";"855.0";"52.0";"98.0";"171.0";"231.0";"299.0";"369.0";"437.0";"510.0";"582.0";"671.0";"753.0";"837.0";"105.0";"164.0";"235.0";"302.0";"376.0"
"Респ. Сев.Осетия - Алания";"34.0";"71.0";"112.0";"159.0";"222.0";"275.0";"343.0";"408.0";"456.0";"524.0";"583.0";"642.0";"55.0";"103.0";"133.0";"168.0";"274.0";"340.0";"398.0";"455.0";"509.0";"563.0";"615.0";"36.0";"80.0";"118.0";"158.0";"214.0";"292.0";"351.0";"442.0";"538.0";"612.0";"685.0";"769.0";"112.0";"176.0";"247.0";"334.0";"404.0"
"Карачаево-Черкесская Респ.";"59.0";"94.0";"133.0";"187.0";"234.0";"268.0";"336.0";"401.0";"441.0";"518.0";"571.0";"617.0";"54.0";"97.0";"131.0";"176.0";"275.0";"316.0";"363.0";"417.0";"472.0";"526.0";"574.0";"43.0";"70.0";"112.0";"152.0";"211.0";"258.0";"306.0";"369.0";"436.0";"511.0";"571.0";"642.0";"81.0";"121.0";"161.0";"217.0";"262.0"
"Чеченская Республика";"20.0";"39.0";"59.0";"86.0";"118.0";"145.0";"188.0";"216.0";"257.0";"292.0";"323.0";"372.0";"28.0";"52.0";"81.0";"107.0";"176.0";"219.0";"261.0";"303.0";"346.0";"388.0";"425.0";"23.0";"44.0";"82.0";"110.0";"139.0";"176.0";"206.0";"241.0";"282.0";"331.0";"355.0";"387.0";"52.0";"71.0";"93.0";"128.0";"170.0"
"Южный фед. округ";"1005.0";"1877.0";"2969.0";"4333.0";"5921.0";"7439.0";"9346.0";"11391.0";"13175.0";"15034.0";"16734.0";"18364.0";"1050.0";"1923.0";"2951.0";"4237.0";"7494.0";"9476.0";"11548.0";"13532.0";"15429.0";"16968.0";"18807.0";"1099.0";"1937.0";"2949.0";"4355.0";"6041.0";"7812.0";"9866.0";"11911.0";"13814.0";"15757.0";"17318.0";"18940.0";"1988.0";"3122.0";"4515.0";"6156.0";"7900.0"
"Краснодарский край";"413.0";"763.0";"1160.0";"1635.0";"2201.0";"2696.0";"3380.0";"4125.0";"4790.0";"5469.0";"6150.0";"6733.0";"432.0";"779.0";"1173.0";"1620.0";"2706.0";"3448.0";"4194.0";"4906.0";"5516.0";"6049.0";"6728.0";"384.0";"724.0";"1122.0";"1676.0";"2287.0";"2924.0";"3668.0";"4427.0";"5041.0";"5728.0";"6102.0";"6710.0";"771.0";"1188.0";"1712.0";"2265.0";"2907.0"
"Астраханская область";"69.0";"124.0";"207.0";"310.0";"436.0";"525.0";"638.0";"750.0";"877.0";"1012.0";"1124.0";"1233.0";"93.0";"160.0";"250.0";"353.0";"681.0";"863.0";"1031.0";"1225.0";"1422.0";"1560.0";"1704.0";"129.0";"216.0";"312.0";"439.0";"574.0";"722.0";"912.0";"1089.0";"1308.0";"1492.0";"1641.0";"1763.0";"217.0";"332.0";"467.0";"639.0";"801.0"
